Time,Time Code,Country Name,Country Code,"Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%) [SE.TER.GRAD.FE.SC.ZS]",GDP per capita (Current US$) [NY.GDP.PCAP.CD],"Government expenditure per student, primary (% of GDP per capita) [SE.XPD.PRIM.PC.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Population, total [SP.POP.TOTL]","Population, female [SP.POP.TOTL.FE.IN]","Population, female (% of total) [SP.POP.TOTL.FE.ZS]","Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%) [SE.TER.GRAD.FE.SI.ZS]","Gross graduation ratio, primary, female (%) [SE.PRM.CMPL.FE.ZS]","Gross graduation ratio, primary, male (%) [SE.PRM.CMPL.MA.ZS]","Gross graduation ratio, tertiary, female (%) [SE.TER.CMPL.FE.ZS]","Gross graduation ratio, tertiary, male (%) [SE.TER.CMPL.MA.ZS]","Literacy rate, youth (ages 15-24), gender parity index (GPI) [SE.ADT.1524.LT.FM.ZS]",A woman can get a job in the same way as a man (1=yes; 0=no) [SG.GET.JOBS.EQ],A woman can open a bank account in the same way as a man (1=yes; 0=no) [SG.OPN.BANK.EQ],A woman can choose where to live in the same way as a man (1=yes; 0=no) [SG.LOC.LIVE.EQ],"Age at first marriage, female [SP.DYN.SMAM.FE]","Age at first marriage, male [SP.DYN.SMAM.MA]",Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no) [SG.IHT.ASST.PT.EQ],"Children in employment, male (% of male children ages 7-14) [SL.TLF.0714.MA.ZS]","Children in employment, female (% of female children ages 7-14) [SL.TLF.0714.FE.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Labor force, female [SL.TLF.TOTL.FE.IN]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Retirement age with full benefits, female [SG.AGE.RTRE.FL.FE]","Retirement age with full benefits, male [SG.AGE.RTRE.FL.MA]"
2016,YR2016,Arab World,ARB,..,6112.1059534046,..,73.3210654929608,69.7246665339846,404024435,194903053,48.2404119981043,..,..,..,..,..,0.943729996681213,..,..,..,..,..,..,..,..,131641441,28074327,21.3263592074116,..,..
2016,YR2016,Caribbean small states,CSS,..,9518.1838733579,21.77293,75.6468152561518,71.2276353441853,7269385,3600423,50.3805771449651,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3326846,1459499,43.8703636628698,..,..
2016,YR2016,Central Europe and the Baltics,CEB,..,12822.3762230609,20.29085,80.8232937405659,73.3095047596096,102994278,53158783,51.6133364990871,..,..,..,..,..,1.00037002563477,..,..,..,..,..,..,..,..,49443860,22241965,44.9842840948155,..,..
2016,YR2016,Early-demographic dividend,EAR,..,3334.11968835416,..,71.9093059809084,68.2412642111295,3164386912,1552588678,49.0644387306022,..,..,..,..,..,0.970120012760162,..,..,..,..,..,..,..,..,1241675043,368354293,29.6659174384342,..,..
2016,YR2016,East Asia & Pacific,EAS,..,9858.04901339385,..,78.2840102316296,73.1752631024452,2298486142,1132810407,49.2896047485132,..,..,..,..,..,0.999769985675812,..,..,..,..,..,..,..,..,1255058403,543659492,43.3174653387406,..,..
2016,YR2016,East Asia & Pacific (excluding high income),EAP,..,6612.32723708149,..,77.3288094854992,72.3715658696213,2053103802,1008507999,49.1241238787406,..,..,..,..,..,0.999629974365234,..,..,..,..,..,..,..,..,1124665858,487034217,43.3047924503593,..,..
2016,YR2016,East Asia & Pacific (IDA & IBRD),TEA,..,6682.12580197807,..,77.3575134145847,72.4232659822953,2027771091,995576139,49.0994821707754,..,..,..,..,..,0.999610006809235,..,..,..,..,..,..,..,..,1108474456,479389746,43.2477033613775,..,..
2016,YR2016,Euro area,EMU,..,35147.7422259268,20.279965,84.6866669332266,79.3613319072773,340481753,174187216,51.1590462217497,..,..,..,..,..,..,..,..,..,..,..,..,..,..,163874582,75458895,46.0467353015125,..,..
2016,YR2016,Europe & Central Asia,ECS,..,22383.0497887935,20.553325,80.9232732636899,74.4725177671063,910904758,468726255,51.5809733081108,..,..,..,..,..,0.999469995498657,..,..,..,..,..,..,..,..,434546100,196605914,45.2439721475903,..,..
2016,YR2016,Europe & Central Asia (excluding high income),ECA,..,7058.86171886161,..,77.1210936260051,68.9886060414493,392870484,204235447,52.2217181696345,..,..,..,..,..,0.999090015888214,..,..,..,..,..,..,..,..,181718197,80474606,44.2853871150835,..,..
2016,YR2016,Europe & Central Asia (IDA & IBRD),TEC,..,7665.3771838596,..,77.6442190520714,69.5757048270545,454717187,236075412,52.1207232906129,..,..,..,..,..,0.999230027198792,..,..,..,..,..,..,..,..,210876531,93364736,44.2745982956254,..,..
2016,YR2016,European Union,EUU,..,31172.2286448947,20.26908,83.862449673049,78.1875144282837,445487728,228051159,51.1913449916363,..,..,..,..,..,..,..,..,..,..,..,..,..,..,214556973,98282576,45.8072169017783,..,..
2016,YR2016,Fragile and conflict affected situations,FCS,..,2075.89997448139,..,62.6504218161078,59.1255851139383,747004599,372455677,49.9834443472132,..,..,..,..,..,0.873319983482361,..,..,..,..,..,..,..,..,256752721,104416365,40.6680656703298,..,..
2016,YR2016,Heavily indebted poor countries (HIPC),HPC,..,907.015698667542,..,64.0414829530821,60.6034219491726,738387254,370341463,50.1554515178818,..,..,..,..,..,0.909049987792969,..,..,..,..,..,..,..,..,289164218,130257953,45.0463592800187,..,..
2016,YR2016,High income,HIC,..,40343.8213202962,20.29085,83.2778742676223,77.9782952610323,1219052243,612562125,50.2826865713812,..,..,..,..,..,..,..,..,..,..,..,..,..,..,613121281,269922776,44.0243689925864,..,..
2016,YR2016,IBRD only,IBD,..,5573.10612239042,..,75.4042141464286,70.6881660957979,4692793113,2314543466,49.3220999273095,..,..,..,..,..,0.985849976539612,..,..,..,..,..,..,..,..,2168611486,804131580,37.0804815006677,..,..
2016,YR2016,IDA & IBRD total,IBT,..,4505.97092434447,..,72.8518330081418,68.5326297846553,6254597843,3092949677,49.4666355207156,..,..,..,..,..,0.964999973773956,..,..,..,..,..,..,..,..,2762571551,1042731051,37.7449427911741,..,..
2016,YR2016,IDA blend,IDB,..,1774.19436581491,..,62.7509102670089,60.4639695278468,524790731,258643412,49.2917546193997,..,..,..,..,..,0.88468998670578,..,..,..,..,..,..,..,..,183178648,66895263,36.51913786371,..,..
2016,YR2016,IDA only,IDX,..,1066.08116623517,..,66.5122874104424,62.7520286311,1037013999,519762799,50.2105027174252,..,..,..,..,..,0.930329978466034,..,..,..,..,..,..,..,..,410781416,171704208,41.7994097288987,..,..
2016,YR2016,IDA total,IDA,..,1306.01554404922,..,65.2624831251623,61.9729976898252,1561804730,778406211,49.9014514836834,..,..,..,..,..,..,..,..,..,..,..,..,..,..,593960065,238599471,40.1709617629411,..,..
2016,YR2016,Late-demographic dividend,LTE,..,8188.04785801434,..,78.6216932307045,73.0946234571357,2261412980,1119261789,49.4939136954713,..,..,..,..,..,1.00071001052856,..,..,..,..,..,..,..,..,1237145773,540254825,43.6694555506269,..,..
2016,YR2016,Latin America & Caribbean,LCN,..,8589.62836986689,15.2222,78.3276044309315,71.94197484891,628488528,318987914,50.7812291393054,..,..,..,..,..,1.00407004356384,..,..,..,..,..,..,..,..,299013414,123668830,41.3589565583837,..,..
2016,YR2016,Latin America & Caribbean (excluding high income),LAC,..,8155.11061751261,15.2222,78.1479503033777,71.7308053450947,596647568,302893382,50.771946988353,..,..,..,..,..,1.00419998168945,..,..,..,..,..,..,..,..,284118291,117402769,41.3217917086577,..,..
2016,YR2016,Latin America & Caribbean (IDA & IBRD),TLA,..,8429.0339590811,15.2222,78.2578781935299,71.828555052972,612506457,310964762,50.7794140089843,..,..,..,..,..,1.00414001941681,..,..,..,..,..,..,..,..,292343566,120983898,41.3841489597493,..,..
2016,YR2016,Least developed countries: UN classification,LDC,..,986.659726322111,..,66.2017042300512,62.5306822212331,963511276,484462913,50.2815656585147,..,..,..,..,..,0.925059974193573,..,..,..,..,..,..,..,..,385797484,163704354,42.4327164100146,..,..
2016,YR2016,Low & middle income,LMY,..,4383.45774355264,..,72.7523265062302,68.4703922958185,6205233900,3067437471,49.4487946991193,..,..,..,..,..,0.964800000190735,..,..,..,..,..,..,..,..,2741928943,1033894805,37.7068416791473,..,..
2016,YR2016,Low income,LIC,..,790.161708482454,..,64.6619608190153,60.8729791275381,618780841,310559653,50.1889573820707,..,..,..,..,..,0.890070021152496,..,..,..,..,..,..,..,..,238096329,103768361,43.582513193641,..,..
2016,YR2016,Lower middle income,LMC,..,1921.07416148877,..,69.669569267497,66.3232130632016,2790617792,1368346758,49.0338289288286,..,..,..,..,..,0.952359974384308,..,..,..,..,..,..,..,..,1062756149,321711695,30.2714496356747,..,..
2016,YR2016,Middle East & North Africa,MEA,..,7277.53208743827,..,75.5467695504658,72.0507597284854,433597628,209196691,48.2467334614428,..,..,..,..,..,0.955099999904633,..,..,..,..,..,..,..,..,146078037,30367125,20.7882897442236,..,..
2016,YR2016,Middle East & North Africa (excluding high income),MNA,..,3942.96184419826,..,75.150318832953,71.3553481530796,370276461,183589392,49.5817077087574,..,..,..,..,..,0.950039982795715,..,..,..,..,..,..,..,..,114114606,23646604,20.7218036449812,..,..
2016,YR2016,Middle East & North Africa (IDA & IBRD),TMN,..,3947.21870411868,..,75.1484610436663,71.348265627313,365909373,181438057,49.5855179647762,..,..,..,..,..,0.949240028858185,..,..,..,..,..,..,..,..,112964048,23422815,20.7347523393504,..,..
2016,YR2016,Middle income,MIC,..,4780.82929661651,..,73.6636984734824,69.2985442000736,5586453059,2756877818,49.3667819550622,..,..,..,..,..,0.974399983882904,..,..,..,..,..,..,..,..,2503832614,930126444,37.1481079171723,..,..
2016,YR2016,North America,NAC,..,56388.8554198654,19.85908,81.3910343576699,76.4829882015296,359115352,181383022,50.5173705227562,..,..,..,..,..,..,..,..,..,..,..,..,..,..,182441319,83946364,46.0128026151795,..,..
2016,YR2016,OECD members,OED,..,36044.7475495454,20.279965,82.6886823901727,77.3323857936424,1336645071,679598090,50.8435714224889,..,..,..,..,..,..,..,..,..,..,..,..,..,..,657454559,289669057,44.0591754175655,..,..
2016,YR2016,Other small states,OSS,..,12402.3569740925,..,69.4720182242845,66.3718976370399,29542879,13883508,47.0477783776691,..,..,..,..,..,0.993659973144531,..,..,..,..,..,..,..,..,13398772,5093196,38.0124106877241,..,..
2016,YR2016,Pacific island small states,PSS,..,3967.60457238316,..,71.5302391996394,67.8481046577602,2388307,1127092,49.2486397879154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,868890,350609,40.3512063078108,..,..
2016,YR2016,Post-demographic dividend,PST,..,41299.6861038583,20.295035,83.2916694249316,77.9550740975928,1101715022,561151807,50.9343882995554,..,..,..,..,..,..,..,..,..,..,..,..,..,..,554082443,252200855,45.516846504675,..,..
2016,YR2016,Pre-demographic dividend,PRE,..,1400.23186523359,..,61.5913099449004,58.4019369251032,869943914,434944788,49.996876765766,..,..,..,..,..,0.880169987678528,..,..,..,..,..,..,..,..,310009154,137740337,44.4310548040717,..,..
2016,YR2016,Small states,SST,..,11353.6237074227,..,70.7912195196363,67.3030347206027,39200571,18611023,47.7886939044386,..,..,..,..,..,1.00167000293732,..,..,..,..,..,..,..,..,17594507,6903304,39.2355570004507,..,..
2016,YR2016,South Asia,SAS,..,1650.33013926635,..,70.2333732256158,67.7096108574667,1771167194,856232039,48.34281262067,..,..,..,..,..,0.948350012302399,..,..,..,..,..,..,..,..,648184817,145240623,22.4072858837112,..,..
2016,YR2016,South Asia (IDA & IBRD),TSA,..,1650.33013926635,..,70.2333732256158,67.7096108574667,1771167194,856232039,48.34281262067,..,..,..,..,..,0.948350012302399,..,..,..,..,..,..,..,..,648184817,145240623,22.4072858837112,..,..
2016,YR2016,Sub-Saharan Africa,SSF,..,1506.4356504609,..,62.1764269897429,58.7230166265869,1022526541,512663268,50.136915371903,..,..,..,..,..,0.910690009593964,..,..,..,..,..,..,..,..,389728134,180329233,46.2705197142862,..,..
2016,YR2016,Sub-Saharan Africa (excluding high income),SSA,..,1495.05561698279,..,62.1553865136325,58.7067501322038,1021168391,511979212,50.1366097832217,..,..,..,..,..,0.910570025444031,..,..,..,..,..,..,..,..,389127174,180095985,46.2820376236071,..,..
2016,YR2016,Sub-Saharan Africa (IDA & IBRD),TSS,..,1506.4356504609,..,62.1764269897429,58.7230166265869,1022526541,512663268,50.136915371903,..,..,..,..,..,0.910690009593964,..,..,..,..,..,..,..,..,389728134,180329233,46.2705197142862,..,..
2016,YR2016,Upper middle income,UMC,..,7632.3928313119,..,77.5997672496775,72.3097411142096,2795835267,1388531060,49.6993483946403,..,..,..,..,..,0.999769985675812,..,..,..,..,..,..,..,..,1441076465,608414749,42.2194632923667,..,..
2016,YR2016,World,WLD,..,10286.3761444919,..,74.5043788462673,70.0095340256882,7424286143,3679999596,49.5856778180134,..,..,..,..,..,0.969380021095276,..,..,..,..,..,..,..,..,3355050224,1303817581,38.8613431578936,..,..
2016,YR2016,Afghanistan,AFG,..,509.218661332126,10.34081,65.275,62.343,35383128,17196083,48.5996676146541,..,43.18877,66.6153,..,..,..,1,1,0,..,..,0,..,..,9567304,1895900,19.8164498588108,..,..
2016,YR2016,Albania,ALB,69.29825,4124.05572595352,..,80.134,76.353,2876101,1410814,49.0529987420434,48.29606,100.94626,95.78836,51.5211601257324,28.791690826416,..,1,1,1,..,..,1,..,..,1328845,558453,42.0254431479969,..,..
2016,YR2016,Algeria,DZA,75.87614,3945.48208133854,..,77.524,75.115,40551404,20069500,49.4915045838864,55.47199,109.23265,112.59505,..,..,..,1,1,1,..,..,0,..,..,12178730,2400015,19.7066114447073,..,..
2016,YR2016,American Samoa,ASM,..,11696.9555623329,..,..,..,55741,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Andorra,AND,..,37474.6654057245,12.74297,..,..,77297,..,..,25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Angola,AGO,..,3506.07288506966,..,62.783,57.242,28842484,14576128,50.5370064892474,..,..,..,..,..,..,1,1,1,21.5,25.8,1,..,..,11848868,5936008,50.0976802172157,..,..
2016,YR2016,Antigua and Barbuda,ATG,..,15197.6174551735,..,77.766,75.41,94527,49006,51.8429961912823,..,..,..,..,..,..,1,1,0,..,..,1,..,..,..,..,..,..,..
2016,YR2016,Argentina,ARG,..,12790.2424732447,15.2222,79.583,72.768,43590368,22344847,51.2609743314513,..,107.74698,105.50019,..,..,1.00244998931885,1,1,1,..,..,1,..,..,19696125,8268446,41.9800646066168,..,..
2016,YR2016,Armenia,ARM,57.07384,3591.82927553023,11.27122,77.949,71.022,2936146,1555132,52.9650933689628,36.8438,91.04031,88.52614,27.1798400878906,28.7889099121094,..,1,1,1,..,..,1,..,..,1304793,600841,46.0487602248019,..,..
2016,YR2016,Aruba,ABW,40,28281.35048163,..,78.237,73.348,104872,55048,52.4903447289372,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Australia,AUS,..,49971.131456129,19.30184,84.6,80.4,24190907,12141288,50.1894718273433,..,..,..,..,..,..,1,1,1,29.9,31.2,1,..,..,12742051,5881885,46.161210624569,..,..
2016,YR2016,Austria,AUT,49.59479,45276.8314351693,23.48041,84.1,79.3,8736668,4453787,50.9780954273236,25.9026,..,..,42.9582481384277,28.0394096374512,..,1,1,1,..,..,1,..,..,4537417,2119047,46.7016145970273,..,..
2016,YR2016,Azerbaijan,AZE,68.76228,3880.73873089556,..,75.088,69.858,9757812,4898038,50.1960704561536,34.83515,99.59412,104.38457,16.7298793792725,17.7816905975342,0.999539971351624,1,1,1,24.2,28.1,1,..,..,4969576,2424415,48.7851478677457,..,..
2016,YR2016,"Bahamas, The",BHS,..,31562.6397411168,..,75.509,71.064,377931,194450,51.4512215451296,..,..,..,..,..,..,1,1,1,..,..,1,..,..,219167,105533,48.151865928721,..,..
2016,YR2016,Bahrain,BHR,81.08108,22608.484275925,..,77.997,76.063,1425791,538854,37.7933542947679,45.74275,103.14073,95.822,35.095401763916,13.2256097793579,0.988940000534058,0,1,0,..,..,0,..,..,817934,174931,21.3869334200559,..,..
2016,YR2016,Bangladesh,BGD,12.99893,1401.62062821515,..,73.655,70.192,157970840,77925128,49.328805151069,19.77568,99.21216,79.55784,..,..,1.02812004089355,1,1,1,..,..,0,..,..,63702950,18313575,28.7483939126838,..,..
